title,authors,year,publication,type,theme,doi,preprint_url,github_url,pdf_url
Assessing the acquisition of Romani in Roma children,Hristo Kyuchukov; Jill de Villiers; Yanwan Zhu; Iris Zhong,2025,Language Acquisition,journal_article,language_assessment,https://doi.org/10.1080/10489223.2024.2310849,https://scholarworks.smith.edu/cgi/viewcontent.cgi?article=1232&context=psy_facpubs,,
"Toddlers use “if”, rather than “when”, to talk about mere possibilities",Yanwan Zhu; Roman Feiman,,,under_review,modal_development,,,,
